Name,Count,Description
404 status,4640,Count of status code 404
XSS,52,Count of possible XSS
SQL Injection,884,Count of possible SQL Injection
IDOR,692242,Count of possible Insecure Direct Object References
IP Address ,Request Counter for IP Address
193.106.31.130,53714
173.255.176.5,10440
51.210.183.78,5368
45.144.0.179,1892
176.222.58.254,1868
45.132.207.154,1780
45.153.227.55,1776
45.138.4.22,1760
45.153.227.31,1752
45.138.4.35,1744
45.132.51.62,1736
176.222.58.90,1720
45.138.145.131,1712
45.132.207.221,1700
45.138.145.106,1696
45.132.51.36,1692
45.144.0.98,1652
87.247.143.24,1472
45.145.161.6,1390
45.145.161.12,1360
194.156.95.52,1352
194.156.95.20,1324
87.247.143.30,1280
66.249.73.135,964
46.105.14.53,728
130.237.218.86,714
45.135.34.192,660
81.16.140.109,648
81.16.140.72,644
45.88.82.121,644
45.135.34.239,636
45.133.219.22,608
194.60.76.216,604
45.138.6.188,604
81.16.140.79,592
45.138.6.229,592
81.16.140.97,584
194.60.76.9,580
45.129.198.146,578
81.16.140.137,572
45.88.82.91,572
81.16.140.108,564
45.133.219.37,552
75.97.9.59,546
81.16.140.75,528
51.210.243.185,512
45.129.198.148,504
81.16.140.68,496
178.32.217.133,466
5.188.62.147,450
194.96.112.31,442
80.110.118.26,394
81.5.193.243,382
91.171.55.234,344
201.77.65.63,330
187.39.254.77,330
212.9.160.24,314
143.244.43.177,302
62.35.7.187,286
78.43.204.168,276
130.204.55.97,274
62.138.3.52,262
93.157.87.137,256
41.237.157.66,254
62.28.204.42,240
50.16.19.13,226
83.135.236.106,222
154.237.94.153,222
174.138.115.170,220
193.83.238.138,216
185.244.212.62,208
209.85.238.199,204
178.191.193.166,204
89.144.193.159,202
80.73.48.253,202
68.180.224.225,198
84.142.204.244,178
186.236.36.46,176
85.90.142.146,174
91.114.217.8,174
13.77.204.88,172
80.248.225.154,170
176.31.182.58,170
193.83.232.67,170
194.48.80.5,170
91.114.166.95,170
156.209.63.112,170
100.43.83.137,168
213.162.73.51,168
145.244.245.90,168
208.115.111.72,166
198.46.149.143,164
37.143.54.42,164
217.149.171.92,158
201.137.179.24,156
91.193.4.199,152
208.115.113.88,148
78.138.20.99,148
154.237.132.98,148
83.227.29.211,146
145.253.118.26,146
156.209.86.29,146
86.201.251.107,142
213.225.10.67,140
81.217.128.123,136
156.196.194.205,132
108.171.116.194,130
5.188.62.140,128
217.149.169.124,128
217.182.78.180,122
35.201.231.127,122
208.91.156.11,120
65.55.213.73,120
193.106.30.100,114
66.249.73.185,112
51.195.103.74,112
173.242.124.14,110
50.139.66.106,104
45.242.86.62,102
86.76.247.183,100
14.160.65.22,100
62.210.78.76,98
62.138.6.15,98
137.59.253.53,96
104.198.44.83,92
213.171.211.253,90
