nomer_za_poradkom;month_number;pidriemstvo;plan_chiselnosti_zainatix_robitnikiv_PR;fakt_chisl_zainatix_robitnikiv_FR;fond_premialnix_viplat_FPV;vidsotok_vikonanya_planu_z_chiselnosti_robochix_VP;vidxilenna_za_chiselnistyu_robochikh_VR;seredniy_rozmir_premialnix_viplat_na_1_ludinu_SV
1;10;p10;659;824;600000;1.25038;165;728.155
2;1;p1;544;748;600000;1.375;204;802.139
3;2;p1;507;791;600000;1.56016;284;758.534
4;3;p1;536;805;600000;1.50187;269;745.342
5;1;p2;518;675;600000;1.30309;157;888.889
6;2;p2;522;786;600000;1.50575;264;763.359
7;3;p2;761;748;900000;0.982917;-13;1203.21
8;4;p3;759;850;900000;1.11989;91;1058.82
9;5;p3;674;720;600000;1.06825;46;833.333
10;6;p3;575;618;600000;1.07478;43;970.874
11;7;p4;665;771;600000;1.1594;106;778.21
12;8;p4;561;689;600000;1.22816;128;870.827
13;9;p4;765;758;900000;0.99085;-7;1187.34
14;10;p5;796;704;900000;0.884422;-92;1278.41
15;11;p5;731;842;600000;1.15185;111;712.589
16;12;p5;719;667;600000;0.927677;-52;899.55
17;6;p6;778;889;900000;1.14267;111;1012.37
18;9;p6;510;683;600000;1.33922;173;878.477
19;12;p6;588;788;600000;1.34014;200;761.421
20;7;p7;577;722;600000;џэт.13;145;831.025
